lowercase,stop_words,max_df,min_df,score
TRUE,english,0.9,10,0.724110462
TRUE,english,0.9,5,0.74535316
TRUE,english,0.9,2,0.752257037
TRUE,english,0.9,0,0.740042485
TRUE,english,0.8,10,0.724110462
TRUE,english,0.8,5,0.74535316
TRUE,english,0.8,2,0.752257037
TRUE,english,0.8,0,0.740042485
TRUE,english,0.7,10,0.724110462
TRUE,english,0.7,5,0.74535316
TRUE,english,0.7,2,0.752257037
TRUE,english,0.7,0,0.740042485
TRUE,english,0.5,10,0.723579395
TRUE,english,0.5,5,0.745884227
TRUE,english,0.5,2,0.75252257
TRUE,english,0.5,0,0.741901221
TRUE,None,0.9,10,0.723579395
TRUE,None,0.9,5,0.740042485
TRUE,None,0.9,2,0.726234732
TRUE,None,0.9,0,0.677110993
TRUE,None,0.8,10,0.723844928
TRUE,None,0.8,5,0.737652682
TRUE,None,0.8,2,0.728624535
TRUE,None,0.8,0,0.686670207
TRUE,None,0.7,10,0.723313861
TRUE,None,0.7,5,0.739511418
TRUE,None,0.7,2,0.732607541
TRUE,None,0.7,0,0.694370685
TRUE,None,0.5,10,0.725969198
TRUE,None,0.5,5,0.743759958
TRUE,None,0.5,2,0.740573553
TRUE,None,0.5,0,0.705257568
FALSE,english,0.9,10,0.73605948
FALSE,english,0.9,5,0.740042485
FALSE,english,0.9,2,0.745884227
FALSE,english,0.9,0,0.727296867
FALSE,english,0.8,10,0.73605948
FALSE,english,0.8,5,0.740042485
FALSE,english,0.8,2,0.745884227
FALSE,english,0.8,0,0.727296867
FALSE,english,0.7,10,0.73605948
FALSE,english,0.7,5,0.740042485
FALSE,english,0.7,2,0.745884227
FALSE,english,0.7,0,0.727296867
FALSE,english,0.5,10,0.737387148
FALSE,english,0.5,5,0.739776952
FALSE,english,0.5,2,0.745884227
FALSE,english,0.5,0,0.728093468
FALSE,None,0.9,10,0.725438131
FALSE,None,0.9,5,0.725438131
FALSE,None,0.9,2,0.715082315
FALSE,None,0.9,0,0.651885289
FALSE,None,0.8,10,0.727827934
FALSE,None,0.8,5,0.726234732
FALSE,None,0.8,2,0.72039299
FALSE,None,0.8,0,0.66834838
FALSE,None,0.7,10,0.728624535
FALSE,None,0.7,5,0.726765799
FALSE,None,0.7,2,0.721986192
FALSE,None,0.7,0,0.678704195
FALSE,None,0.5,10,0.731279873
FALSE,None,0.5,5,0.728093468
FALSE,None,0.5,2,0.726234732
FALSE,None,0.5,0,0.692246415
