lowercase,sublinear_tf,stop_words,max_df,min_df,Score
False,False,english,0.9,0,0.757302177377
False,True,english,0.9,0,0.762347318109
False,False,None,0.9,0,0.660913436006
False,True,None,0.9,0,0.688263409453
False,False,english,0.9,2,0.763940520446
False,True,english,0.9,2,0.768985661179
False,False,None,0.9,2,0.689060010621
False,True,None,0.9,2,0.711630377058
False,False,english,0.9,5,0.761019649495
False,True,english,0.9,5,0.771640998407
False,False,None,0.9,5,0.70233669676
False,True,None,0.9,5,0.725438130643
False,False,english,0.9,10,0.751194901753
False,True,english,0.9,10,0.754912373871
False,False,None,0.9,10,0.706585236325
False,True,None,0.9,10,0.724110462029
False,False,english,0.8,0,0.757302177377
False,True,english,0.8,0,0.762347318109
False,False,None,0.8,0,0.676845459373
False,True,None,0.8,0,0.694370685077
False,False,english,0.8,2,0.763940520446
False,True,english,0.8,2,0.768985661179
False,False,None,0.8,2,0.698619224642
False,True,None,0.8,2,0.715082315454
False,False,english,0.8,5,0.761019649495
False,True,english,0.8,5,0.771640998407
False,False,None,0.8,5,0.714020180563
False,True,None,0.8,5,0.730217737653
False,False,english,0.8,10,0.751194901753
False,True,english,0.8,10,0.754912373871
False,False,None,0.8,10,0.716144450345
False,True,None,0.8,10,0.727827934148
False,False,english,0.7,0,0.757302177377
False,True,english,0.7,0,0.762347318109
False,False,None,0.7,0,0.690918746681
False,True,None,0.7,0,0.703929899097
False,False,english,0.7,2,0.763940520446
False,True,english,0.7,2,0.768985661179
False,False,None,0.7,2,0.709240573553
False,True,None,0.7,2,0.720924057355
False,False,english,0.7,5,0.761019649495
False,True,english,0.7,5,0.771640998407
False,False,None,0.7,5,0.72331386086
False,True,None,0.7,5,0.73473181094
False,False,english,0.7,10,0.751194901753
False,True,english,0.7,10,0.754912373871
False,False,None,0.7,10,0.721986192246
False,True,None,0.7,10,0.731545406267
False,False,english,0.5,0,0.758364312268
False,True,english,0.5,0,0.762612851832
False,False,None,0.5,0,0.708443972384
False,True,None,0.5,0,0.714551248008
False,False,english,0.5,2,0.762347318109
False,True,english,0.5,2,0.768720127456
False,False,None,0.5,2,0.722251725969
False,True,None,0.5,2,0.732076473712
False,False,english,0.5,5,0.762612851832
False,True,english,0.5,5,0.769516728625
False,False,None,0.5,5,0.732607541158
False,True,None,0.5,5,0.741901221455
False,False,english,0.5,10,0.749336165693
False,True,english,0.5,10,0.755974508763
False,False,None,0.5,10,0.727296866702
False,True,None,0.5,10,0.732076473712
True,False,english,0.9,0,0.771640998407
True,True,english,0.9,0,0.780403611259
True,False,None,0.9,0,0.681625066383
True,True,None,0.9,0,0.709771640998
True,False,english,0.9,2,0.775624004249
True,True,english,0.9,2,0.788104089219
True,False,None,0.9,2,0.710568242167
True,True,None,0.9,2,0.735793945831
True,False,english,0.9,5,0.772968667021
True,True,english,0.9,5,0.783058948486
True,False,None,0.9,5,0.720924057355
True,True,None,0.9,5,0.751194901753
True,False,english,0.9,10,0.758364312268
True,True,english,0.9,10,0.768189060011
True,False,None,0.9,10,0.72331386086
True,True,None,0.9,10,0.748008497079
True,False,english,0.8,0,0.771640998407
True,True,english,0.8,0,0.780403611259
True,False,None,0.8,0,0.701540095592
True,True,None,0.8,0,0.717472118959
True,False,english,0.8,2,0.775624004249
True,True,english,0.8,2,0.788104089219
True,False,None,0.8,2,0.721455124801
True,True,None,0.8,2,0.741635687732
True,False,english,0.8,5,0.772968667021
True,True,english,0.8,5,0.783058948486
True,False,None,0.8,5,0.732873074881
True,True,None,0.8,5,0.755974508763
True,False,english,0.8,10,0.758364312268
True,True,english,0.8,10,0.768189060011
True,False,None,0.8,10,0.732873074881
True,True,None,0.8,10,0.75092936803
True,False,english,0.7,0,0.771640998407
True,True,english,0.7,0,0.780403611259
True,False,None,0.7,0,0.710568242167
True,True,None,0.7,0,0.724375995751
True,False,english,0.7,2,0.775624004249
True,True,english,0.7,2,0.788104089219
True,False,None,0.7,2,0.729686670207
True,True,None,0.7,2,0.743759957515
True,False,english,0.7,5,0.772968667021
True,True,english,0.7,5,0.783058948486
True,False,None,0.7,5,0.743228890069
True,True,None,0.7,5,0.757302177377
True,False,english,0.7,10,0.758364312268
True,True,english,0.7,10,0.768189060011
True,False,None,0.7,10,0.741901221455
True,True,None,0.7,10,0.750398300584
True,False,english,0.5,0,0.771640998407
True,True,english,0.5,0,0.78146574615
True,False,None,0.5,0,0.72809346787
True,True,None,0.5,0,0.738449283059
True,False,english,0.5,2,0.776155071694
True,True,english,0.5,2,0.785714285714
True,False,None,0.5,2,0.747211895911
True,True,None,0.5,2,0.752788104089
True,False,english,0.5,5,0.774296335635
True,True,english,0.5,5,0.782527881041
True,False,None,0.5,5,0.754381306426
True,True,None,0.5,5,0.762612851832
True,False,english,0.5,10,0.75862984599
True,True,english,0.5,10,0.768720127456
True,False,None,0.5,10,0.747211895911
True,True,None,0.5,10,0.756771109931
